Ciara,54.00,29.50,San_Francisco,9.00,2325.00,Wait
Ciara,49.00,29.50,San_Francisco,7.00,2325.00,Buy
Ciara,62.02,29.50,San_Francisco,5.00,2325.00,Wait
They_Might_Be_Giants,44.97,25.00,New_York,9.00,550.00,Wait
They_Might_Be_Giants,32.00,25.00,New_York,7.00,550.00,Buy
They_Might_Be_Giants,37.99,25.00,New_York,5.00,550.00,Wait
Milky_Chance,51.00,33.00,Chicago,64.00,4500.00,Wait
Milky_Chance,39.00,33.00,Chicago,62.00,4500.00,Buy
Milky_Chance,51.30,33.00,Chicago,60.00,4500.00,Wait
Beats_Antique,102.00,45.00,Chicago,42.00,4500.00,Buy
Beats_Antique,119.99,45.00,Chicago,40.00,4500.00,Wait
Beats_Antique,102.38,45.00,Chicago,38.00,4500.00,Wait
Erykah_badu,41.00,19.00,Chicago,49.00,5000.00,Wait
Erykah_badu,40.00,19.00,Chicago,47.00,5000.00,Wait
Erykah_badu,39.60,19.00,Chicago,45.00,5000.00,Buy
Waka_Flocka_Flame,36.40,30.00,Silver_Spring,63.00,2000.00,Wait
Waka_Flocka_Flame,35.00,30.00,Silver_Spring,61.00,2000.00,Wait
Waka_Flocka_Flame,34.32,30.00,Silver_Spring,59.00,2000.00,Buy
alt-J,42.00,52.25,Philadelphia,130.00,6500.00,Buy
alt-J,48.22,52.25,Philadelphia,128.00,6500.00,Wait
alt-J,36.96,52.25,Philadelphia,126.00,6500.00,Buy
Bowling_for_Soup,36.73,40.00,Cleveland,30.00,1200.00,Wait
Bowling_for_Soup,36.00,40.00,Cleveland,28.00,1200.00,Wait
Bowling_for_Soup,35.52,40.00,Cleveland,26.00,1200.00,Buy
Flo_Rida,65.50,48.40,Washington_DC,64.00,2000.00,Buy
Flo_Rida,66.00,48.40,Washington_DC,62.00,2000.00,Wait
Flo_Rida,51.04,48.40,Washington_DC,60.00,2000.00,Buy
SBTRKT,56.00,35.00,Washington_DC,17.00,1200.00,Wait
SBTRKT,45.50,35.00,Washington_DC,15.00,1200.00,Wait
SBTRKT,45.50,35.00,Washington_DC,13.00,1200.00,Wait
Django_Django,80.00,25.00,Washington_DC,69.00,1200.00,Wait
Django_Django,67.35,25.00,Washington_DC,67.00,1200.00,Wait
Django_Django,59.28,25.00,Washington_DC,65.00,1200.00,Buy
Tame_Impala,135.00,39.50,Los_Angeles,76.00,800.00,Buy
Tame_Impala,143.00,39.50,Los_Angeles,74.00,800.00,Wait
Tame_Impala,143.00,39.50,Los_Angeles,72.00,800.00,Wait
Raekwon,100.00,29.00,Los_Angeles,88.00,4000.00,Wait
Raekwon,97.00,29.00,Los_Angeles,86.00,4000.00,Wait
Raekwon,96.80,29.00,Los_Angeles,84.00,4000.00,Buy
Major_Lazer,45.00,45.00,Las_Vegas,12.00,3000.00,Wait
Major_Lazer,45.00,45.00,Las_Vegas,10.00,3000.00,Wait
Major_Lazer,45.00,45.00,Las_Vegas,8.00,3000.00,Wait
The_Psychedelic_Furs,55.00,30.00,Seattle,73.00,1100.00,Wait
The_Psychedelic_Furs,53.00,30.00,Seattle,71.00,1100.00,Wait
The_Psychedelic_Furs,52.80,30.00,Seattle,69.00,1100.00,Buy
A-trak,65.85,24.00,Boston,14.00,800.00,Buy
A-trak,77.40,24.00,Boston,12.00,800.00,Wait
A-trak,65.34,24.00,Boston,10.00,800.00,Wait
Minstry,117.71,69.69,Houston,13.00,1650.00,Wait
Minstry,117.71,69.69,Houston,11.00,1650.00,Wait
Minstry,117.71,69.69,Houston,9.00,1650.00,Buy
Diplo,150.00,25.00,Las_Vegas,32.00,3000.00,Wait
Diplo,150.00,25.00,Las_Vegas,30.00,3000.00,Wait
Diplo,150.00,25.00,Las_Vegas,28.00,3000.00,Wait
Nico&Vinz,17.75,25.00,San_Francisco,15.00,500.00,Wait
Nico&Vinz,17.19,25.00,San_Francisco,13.00,500.00,Wait
Nico&Vinz,17.11,25.00,San_Francisco,11.00,500.00,Wait
Martin_Solveig,48.00,30.00,San_Francisco,15.00,3000.00,Buy
Martin_Solveig,57.45,30.00,San_Francisco,13.00,3000.00,Wait
Martin_Solveig,48.00,30.00,San_Francisco,11.00,3000.00,Buy
Delta_Spirit,110.22,20.00,Portland,20.00,249.00,Buy
Delta_Spirit,129.00,20.00,Portland,18.00,249.00,Wait
Delta_Spirit,110.22,20.00,Portland,16.00,249.00,Buy
The_Ting_Tings,59.95,27.50,San_Francisco,40.00,2325.00,Buy
The_Ting_Tings,59.96,27.50,San_Francisco,38.00,2325.00,Wait
The_Ting_Tings,59.96,27.50,San_Francisco,36.00,2325.00,Buy
Tori_Kelly,37.31,22.00,Boston,29.00,800.00,Buy
Tori_Kelly,43.00,22.00,Boston,27.00,800.00,Wait
Tori_Kelly,42.24,22.00,Boston,25.00,800.00,Buy
Deadmau5,189.49,145.00,New_York,15.00,2000.00,Wait
Deadmau5,132.00,145.00,New_York,13.00,2000.00,Wait
Deadmau5,132.00,145.00,New_York,11.00,2000.00,Buy
Flume,40.00,40.00,Miami,25.00,994.00,Buy
Flume,99.98,40.00,Miami,23.00,994.00,Wait
Flume,99.98,40.00,Miami,21.00,994.00,Buy
